BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,5.386363636,0.012766587,4.40667E-06,-0.003571129,-0.00768495,-0.027493137,-0.010740246,0.001086461,-0.010679007,-0.006949515,0.017118476,0.000360591,-0.166478413,0.000314278,-0.021742818,0.002291273,-0.00323619,-0.008866694,0.002302439,-0.013663095,-0.010371895,-0.00470576,0.012337519,-0.006084995,-0.006883348,-0.026702743,-0.012926482,-0.009945194,-0.00288901,-0.006276837,-0.012115471,2.27374E-05
BR1_main,5.506060606,0.012421134,1.35127E-05,-0.002558251,-0.007479798,-0.027884386,-0.011166188,0.000999469,-0.010296751,-0.0067163,0.015771033,0.000362538,-0.169048084,0.000285864,-0.021515473,0.002071424,-0.003168686,-0.008614284,0.003061957,-0.013570478,-0.00983067,-0.004603667,0.013032032,-0.005951351,-0.00681597,-0.025684967,-0.012265667,-0.009746305,-0.002778187,-0.006261052,-0.011734589,2.31874E-05
BR1_main,5.625757576,0.012072945,2.27386E-05,-0.001616206,-0.007269288,-0.028587595,-0.011567986,0.000905378,-0.009957672,-0.006498228,0.014272815,0.000362269,-0.171548486,0.000259624,-0.021131266,0.001881145,-0.003103858,-0.00835509,0.003557065,-0.01350771,-0.009417209,-0.004495605,0.013707005,-0.005815291,-0.006765762,-0.024762604,-0.011591119,-0.009530521,-0.002682921,-0.006226591,-0.011380054,2.36118E-05
BR1_main,5.745454545,0.011711818,3.20705E-05,-0.000723167,-0.007048666,-0.029452857,-0.011899079,0.000802324,-0.009655875,-0.0062997,0.012788416,0.000359366,-0.173970568,0.000235785,-0.020602042,0.001711034,-0.003041662,-0.008114932,0.003768917,-0.013464928,-0.009132861,-0.004383062,0.014332608,-0.005680075,-0.006757281,-0.023938587,-0.010911399,-0.009300914,-0.002605662,-0.006174093,-0.011056952,2.3987E-05
BR1_main,5.865151515,0.011327712,4.12686E-05,0.0001332,-0.006820652,-0.030336624,-0.012115767,0.000696403,-0.009379996,-0.006119413,0.011396646,0.000353673,-0.176306158,0.000214413,-0.019946202,0.001551723,-0.002982084,-0.007928805,0.003716127,-0.013433444,-0.008962223,-0.004267885,0.014869694,-0.005547555,-0.00680361,-0.023213538,-0.010235451,-0.009060806,-0.002547191,-0.00610527,-0.010770465,2.4292E-05
BR1_main,5.984848485,0.010910594,5.04159E-05,0.000917838,-0.006592677,-0.031094528,-0.012189536,0.000596587,-0.009118227,-0.005949925,0.010168394,0.000345337,-0.178545451,0.000195458,-0.019186312,0.001403435,-0.002925071,-0.007820323,0.003457904,-0.013405564,-0.008887298,-0.00415221,0.015274998,-0.005419142,-0.006907461,-0.022585591,-0.009571778,-0.008813217,-0.00250692,-0.006022319,-0.010526996,2.45089E-05
BR1_main,6.104545455,0.010450339,6.04028E-05,0.001530587,-0.006373557,-0.031587386,-0.012111873,0.00051063,-0.008865148,-0.005780405,0.009155991,0.00033475,-0.180675983,0.000178802,-0.018346288,0.001268117,-0.002870503,-0.007791123,0.0030751,-0.013374526,-0.008888338,-0.004038446,0.015509648,-0.005297025,-0.007064025,-0.022050567,-0.008927928,-0.008560451,-0.002483083,-0.005927495,-0.010331653,2.46226E-05
BR1_main,6.224242424,0.009937728,7.27218E-05,0.001845894,-0.0061711,-0.031729248,-0.011894238,0.000444425,-0.008624543,-0.005605324,0.008369848,0.000322459,-0.182695943,0.000164307,-0.017451255,0.001141211,-0.002818395,-0.007812982,0.002645835,-0.013335352,-0.008944081,-0.003929476,0.015549767,-0.005183135,-0.007261072,-0.021603921,-0.008310844,-0.00830461,-0.002473024,-0.00582334,-0.010186364,2.46236E-05
BR1_main,6.343939394,0.009365836,8.89646E-05,0.001803565,-0.005990059,-0.031526707,-0.011554645,0.000401229,-0.008404999,-0.005425554,0.007788595,0.000309031,-0.184600916,0.000151829,-0.01652994,0.001023449,-0.002768668,-0.007837264,0.002228018,-0.013283737,-0.009031643,-0.003827958,0.015391958,-0.005074695,-0.007476583,-0.021239347,-0.007725885,-0.008047319,-0.002473057,-0.005712178,-0.010084219,2.4506E-05
BR1_main,6.463636364,0.008730829,0.00011064,0.001473124,-0.005832041,-0.031026946,-0.011112289,0.000381459,-0.008214361,-0.005243573,0.007378782,0.000294993,-0.186388419,0.000141236,-0.015619325,0.000926981,-0.002721222,-0.007818168,0.001854242,-0.013216322,-0.009124379,-0.003735654,0.015054487,-0.004964107,-0.007687859,-0.020949607,-0.007176991,-0.00779084,-0.002478611,-0.005596198,-0.010002445,2.42688E-05
BR1_main,6.583333333,0.00803232,0.000139008,0.001015654,-0.005696131,-0.030242741,-0.01059269,0.000383114,-0.008055782,-0.005058716,0.007108145,0.000280796,-0.188065717,0.000132423,-0.014757379,0.000861555,-0.002676044,-0.007725968,0.001536658,-0.013131246,-0.009187938,-0.003652908,0.01457181,-0.004847208,-0.007882576,-0.02072768,-0.006667013,-0.007539182,-0.002484506,-0.00547771,-0.009900171,2.39166E-05
BR1_main,6.703030303,0.00727433,0.000174412,0.000564615,-0.005578969,-0.02917538,-0.010027321,0.000403094,-0.007925637,-0.004866685,0.006950917,0.000266783,-0.18963417,0.000125303,-0.013970082,0.000822414,-0.002632985,-0.007554809,0.001274933,-0.013026911,-0.009178241,-0.003577927,0.013984244,-0.004726903,-0.008044662,-0.020565187,-0.006197193,-0.007297529,-0.002485189,-0.005358701,-0.009731196,2.34576E-05
BR1_main,6.822727273,0.006468842,0.000215049,0.00017257,-0.005475039,-0.027882001,-0.009446453,0.000439036,-0.00781594,-0.004664617,0.006888107,0.000253194,-0.191077982,0.000119797,-0.01326841,0.000798645,-0.002591631,-0.007321481,0.00106277,-0.012901135,-0.00905843,-0.003504735,0.01332953,-0.00460718,-0.008142678,-0.02045149,-0.005767126,-0.007070649,-0.002475366,-0.005240551,-0.009469397,2.29016E-05
BR1_main,6.942424242,0.005639199,0.000256778,-0.00015916,-0.005377716,-0.026485705,-0.008874467,0.000489829,-0.007720894,-0.004457041,0.006906212,0.000240206,-0.19237654,0.00011585,-0.012650927,0.000783316,-0.002551499,-0.007055707,0.000891892,-0.012752051,-0.008830744,-0.003423208,0.012639797,-0.004490177,-0.008144386,-0.020375249,-0.005375491,-0.006861123,-0.002451158,-0.005124395,-0.009122412,2.22616E-05
BR1_main,7.062121212,0.004817932,0.000295508,-0.000448315,-0.005279962,-0.025112302,-0.00832914,0.000555409,-0.00763984,-0.004256022,0.006994836,0.000227941,-0.193504178,0.000113419,-0.012105725,0.000780132,-0.002512042,-0.006789694,0.000753848,-0.012578045,-0.008529507,-0.003328277,0.011940911,-0.004376031,-0.008033098,-0.020324515,-0.005020258,-0.006667805,-0.002410976,-0.005011057,-0.008732818,2.15522E-05
