BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,4.907575758,0.011312205,-0.000278997,-0.012605337,-0.01061028,-0.058653889,-0.012399985,0.000573866,-0.020027175,-0.012957042,0.011338916,0.000242117,-0.171812623,7.69617E-05,-0.025811496,0.000530272,-0.003881361,-0.011884595,-0.006548801,-0.016362222,-0.01982622,-0.005585639,0.004484669,-0.007787979,-0.014105682,-0.034438865,-0.017101277,-0.012774772,-0.004213153,-0.007503649,-0.015397057,1.60341E-05
BR1_main,5.027272727,0.010831748,-0.000228825,-0.010710127,-0.009624534,-0.050570778,-0.012723648,0.000542264,-0.01888739,-0.012495627,0.010722306,0.000247778,-0.173440872,6.44506E-05,-0.026594971,0.000589136,-0.003772964,-0.011674299,-0.004514487,-0.015978844,-0.019752106,-0.005490318,0.005403247,-0.007538471,-0.013467312,-0.032798312,-0.016659716,-0.012605276,-0.004044209,-0.00746211,-0.015045407,1.66681E-05
BR1_main,5.146969697,0.010480438,-0.000186508,-0.009275993,-0.009009466,-0.03936227,-0.013208868,0.000490638,-0.017429288,-0.012233984,0.01034429,0.000260123,-0.175838333,5.46432E-05,-0.027254635,0.00071725,-0.003678043,-0.011289606,-0.002849486,-0.015962647,-0.019397993,-0.005378545,0.006563903,-0.007384122,-0.013713968,-0.031404539,-0.016180672,-0.012456914,-0.00379089,-0.007419474,-0.014666126,1.74157E-05
BR1_main,5.266666667,0.009803734,-0.000161044,-0.007847768,-0.008891329,-0.036650711,-0.013536044,0.000463129,-0.015186723,-0.012286848,0.010649606,0.000280399,-0.17802966,4.40297E-05,-0.027485037,0.000864995,-0.003585846,-0.01110518,-0.001543741,-0.015938815,-0.016991852,-0.00525069,0.007803233,-0.007057748,-0.013352486,-0.030137502,-0.015557486,-0.012264382,-0.003566145,-0.007674301,-0.014289639,1.81697E-05
BR1_main,5.386363636,0.009296085,-0.000135049,-0.00652524,-0.008607509,-0.037078541,-0.013828284,0.000414059,-0.014532719,-0.012056964,0.011209756,0.000296034,-0.181090118,3.62328E-05,-0.027253054,0.000937675,-0.003509229,-0.010864403,-0.000537404,-0.016006671,-0.014851317,-0.005108446,0.009629771,-0.006969036,-0.012493498,-0.028936731,-0.014805175,-0.012049276,-0.003410495,-0.007928224,-0.013864031,1.88476E-05
BR1_main,5.506060606,0.008846648,-0.000127397,-0.005219739,-0.008407449,-0.037217684,-0.014479577,0.000345533,-0.014617255,-0.009912895,0.01043429,0.000309029,-0.184234058,3.13826E-05,-0.026912552,0.000804921,-0.003441616,-0.010549038,0.000123673,-0.015970124,-0.013551039,-0.004981331,0.010510564,-0.006777537,-0.012110025,-0.027716098,-0.014004294,-0.01171915,-0.00328838,-0.007947568,-0.013604555,1.93543E-05
BR1_main,5.625757576,0.008415061,-0.000117947,-0.004366241,-0.008110797,-0.039757835,-0.014415848,0.000214771,-0.014711966,-0.009224942,0.009957788,0.000310646,-0.186945837,3.71193E-05,-0.026386329,0.000694302,-0.003390558,-0.010045579,0.000593535,-0.015840086,-0.012498021,-0.004870192,0.011251294,-0.006619009,-0.011901121,-0.026799321,-0.013187863,-0.011303244,-0.003135313,-0.007685284,-0.01340872,1.97689E-05
BR1_main,5.745454545,0.008028307,-0.000103457,-0.003219606,-0.007842423,-0.041020819,-0.014480623,0.000145801,-0.015626936,-0.009376267,0.008731487,0.000308226,-0.188653327,5.33365E-05,-0.02549052,0.000596311,-0.003323625,-0.009828786,0.000811329,-0.015671674,-0.01194627,-0.004766145,0.011934761,-0.006284666,-0.012801348,-0.025961795,-0.012381826,-0.01091222,-0.00304139,-0.007403465,-0.01336657,1.9922E-05
BR1_main,5.865151515,0.007619128,-8.39235E-05,-0.002124653,-0.007522534,-0.04162149,-0.014730722,7.95826E-05,-0.015830577,-0.009034478,0.00720337,0.000308486,-0.190002842,4.52345E-05,-0.02548354,0.000551388,-0.003257054,-0.009672933,0.000858361,-0.015596986,-0.011897348,-0.004663986,0.012383415,-0.006127733,-0.012813816,-0.025222964,-0.011655429,-0.010575841,-0.003010038,-0.007086175,-0.012797662,1.96613E-05
BR1_main,5.984848485,0.007160269,-6.19211E-05,-0.001318093,-0.007329593,-0.044730847,-0.014820763,-9.02136E-06,-0.01495462,-0.008883399,0.006078583,0.000307792,-0.191851965,3.91584E-05,-0.026354257,0.000499442,-0.003190957,-0.009422426,0.000882936,-0.015636693,-0.012469426,-0.00455605,0.012505687,-0.005956661,-0.011999336,-0.02467092,-0.010903885,-0.010090294,-0.002989984,-0.006934847,-0.012651347,1.95271E-05
BR1_main,6.104545455,0.00674041,-4.24573E-05,-0.000921215,-0.007089116,-0.043827182,-0.01494904,-5.552E-05,-0.013626875,-0.008406681,0.005253893,0.000292618,-0.194482792,2.54955E-05,-0.025804836,0.000336946,-0.003153617,-0.009192253,0.000838716,-0.015493515,-0.012499879,-0.004459901,0.01258871,-0.0058552,-0.012644446,-0.024244087,-0.010232451,-0.009803971,-0.002955067,-0.00690611,-0.012101489,1.93685E-05
BR1_main,6.224242424,0.005991762,-3.57684E-05,-0.000690842,-0.00684953,-0.040293738,-0.014370473,-0.000328557,-0.012426007,-0.007786823,0.004523399,0.000276046,-0.196762642,2.50576E-05,-0.025268182,-4.09134E-05,-0.003110531,-0.00963349,0.000825394,-0.015457604,-0.012853699,-0.004340361,0.012463093,-0.005791111,-0.014006505,-0.02388885,-0.009549137,-0.009433984,-0.003009752,-0.006870856,-0.01172386,1.92385E-05
BR1_main,6.343939394,0.005417594,-2.88001E-05,-0.000601122,-0.006691174,-0.040011376,-0.013878228,-0.000413397,-0.012027432,-0.007348194,0.003911245,0.00026277,-0.198679624,2.59568E-05,-0.023235022,-0.000716047,-0.003065904,-0.009875472,0.000809327,-0.015602516,-0.012826079,-0.004231231,0.012453963,-0.005699681,-0.014865564,-0.023558153,-0.008798911,-0.009171797,-0.003044262,-0.006760486,-0.012133272,1.92758E-05
BR1_main,6.463636364,0.005116883,-3.20173E-05,-0.000830248,-0.006513624,-0.040576546,-0.013240974,-0.000484467,-0.011166326,-0.006903981,0.003605706,0.000245334,-0.200578715,1.48185E-05,-0.020012884,-0.001357455,-0.003003695,-0.010316882,0.000637737,-0.015438664,-0.01258377,-0.004161804,0.012126302,-0.005523915,-0.015459691,-0.023296409,-0.008226682,-0.008919173,-0.003040431,-0.006535465,-0.012311465,1.92697E-05
